Gene,Inheritance
IGL,"[Gamma-glutamyltransferase, familial high serum]; AR (Agammaglobulinemia 1); AR (Kappa light chain deficiency); AD (Myopathy, sarcoplasmic body); AD (Basal ganglia calcification, idiopathic, 5); AD (Meningioma, SIS-related); AR (Short stature, microcephaly, and endocrine dysfunction); {Malaria, resistance to}; AD ({Systemic lupus erythematosus, susceptibility to}); [Gamma-glutamyltransferase, familial high serum]; AR (Agammaglobulinemia 1); AR (Kappa light chain deficiency); AD (Myopathy, sarcoplasmic body); AD (Basal ganglia calcification, idiopathic, 5); AD (Meningioma, SIS-related); AR (Short stature, microcephaly, and endocrine dysfunction); {Malaria, resistance to}; AD ({Systemic lupus erythematosus, susceptibility to})",
IGLL1,"AR (Agammaglobulinemia 2); Agammaglobulinemia, X-linked 1; Isolated growth hormone deficiency, type III, with agammaglobulinemia; AR (Argininosuccinic aciduria); AR (Agammaglobulinemia 2); Agammaglobulinemia, X-linked 1; Isolated growth hormone deficiency, type III, with agammaglobulinemia; AR (Argininosuccinic aciduria)",
IGSF1,"Hypothyroidism, central, and testicular enlargement; Bazex-Dupre-Christol syndrome; Hypothyroidism, central, and testicular enlargement; Bazex-Dupre-Christol syndrome",
IGSF10,AD (Nizon-Isidor syndrome); AD (Nizon-Isidor syndrome),
IGSF3,AR (?Lacrimal duct defect); AR (?Lacrimal duct defect),
IHH,"AR (Acrocapitofemoral dysplasia); AD (Brachydactyly, type A1); AR (Immunodeficiency 124, severe combined); AR (Microphthalmia/coloboma 13); AD (Holoprosencephaly 3); AD (Microphthalmia/coloboma 5); AD (Single median maxillary central incisor); AD (Craniosynostosis, Philadelphia type, with syndactyly); AD (Syndactyly, type 1); AR (Holoprosencephaly 10); AD (Cleidocranial dysplasia); AD (Cleidocranial dysplasia, forme fruste, dental anomalies only); AD (Cleidocranial dysplasia, forme fruste, with brachydactyly); AD (Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly); AR (Acrocapitofemoral dysplasia); AD (Brachydactyly, type A1); AR (Immunodeficiency 124, severe combined); AR (Microphthalmia/coloboma 13); AD (Holoprosencephaly 3); AD (Microphthalmia/coloboma 5); AD (Single median maxillary central incisor); AD (Craniosynostosis, Philadelphia type, with syndactyly); AD (Syndactyly, type 1); AR (Holoprosencephaly 10); AD (Cleidocranial dysplasia); AD (Cleidocranial dysplasia, forme fruste, dental anomalies only); AD (Cleidocranial dysplasia, forme fruste, with brachydactyly); AD (Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly)",
IHO1,AR (Oocyte/zygote/embryo maturation arrest 10); AR (Oocyte/zygote/embryo maturation arrest 10),
IK,"AR (Usher syndrome, type IK); AD ({Long QT syndrome 1, acquired, susceptibility to}); AD (Atrial fibrillation, familial, 3); AR (Jervell and Lange-Nielsen syndrome); AD (Long QT syndrome 1); AD (Short QT syndrome 2); AR (Congenital disorder of glycosylation, type Ik); AR (Jervell and Lange-Nielsen syndrome 2); AD (Long QT syndrome 5); AD (?Long QT syndrome 11); AR (Usher syndrome, type IK); AD ({Long QT syndrome 1, acquired, susceptibility to}); AD (Atrial fibrillation, familial, 3); AR (Jervell and Lange-Nielsen syndrome); AD (Long QT syndrome 1); AD (Short QT syndrome 2); AR (Congenital disorder of glycosylation, type Ik); AR (Jervell and Lange-Nielsen syndrome 2); AD (Long QT syndrome 5); AD (?Long QT syndrome 11)",
IKBKB,"AD (Immunodeficiency 15A); AR (Immunodeficiency 15B); AR (Intellectual developmental disorder, autosomal recessive 13); AD (Immunodeficiency, common variable, 12); AD (B-cell expansion with NFKB and T-cell anergy); AR (Immunodeficiency 11A); AD (Immunodeficiency 11B with atopic dermatitis); AD ({Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8}); AR (Autoinflammation with arthritis and vasculitis); AD (Frontotemporal dementia and/or amyotrophic lateral sclerosis 4); AR (?Cocoon syndrome); AR (?Popliteal pterygium syndrome, Bartsocas-Papas type 2); AD (Cardiospondylocarpofacial syndrome); AD (Frontometaphyseal dysplasia 2); AD (Immunodeficiency 15A); AR (Immunodeficiency 15B); AR (Intellectual developmental disorder, autosomal recessive 13); AD (Immunodeficiency, common variable, 12); AD (B-cell expansion with NFKB and T-cell anergy); AR (Immunodeficiency 11A); AD (Immunodeficiency 11B with atopic dermatitis); AD ({Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8}); AR (Autoinflammation with arthritis and vasculitis); AD (Frontotemporal dementia and/or amyotrophic lateral sclerosis 4); AR (?Cocoon syndrome); AR (?Popliteal pterygium syndrome, Bartsocas-Papas type 2); AD (Cardiospondylocarpofacial syndrome); AD (Frontometaphyseal dysplasia 2)",
IKBKE,"AD (Immunodeficiency, common variable, 10); AD (Immunodeficiency 132A); AD (Immunodeficiency 132B); AD (?Frontotemporal dementia and/or amyotrophic lateral sclerosis 8); AD (Brooke-Spiegler syndrome); AD (Cylindromatosis, familial); AD (Trichoepithelioma, multiple familial, 1); AD (STING-associated vasculopathy, infantile-onset); AD (Immunodeficiency, common variable, 10); AD (Immunodeficiency 132A); AD (Immunodeficiency 132B); AD (?Frontotemporal dementia and/or amyotrophic lateral sclerosis 8); AD (Brooke-Spiegler syndrome); AD (Cylindromatosis, familial); AD (Trichoepithelioma, multiple familial, 1); AD (STING-associated vasculopathy, infantile-onset)",
IKBKG,"Autoinflammatory disease, systemic, X-linked; Ectodermal dysplasia and immunodeficiency 1; Immunodeficiency 33; Incontinentia pigmenti; AD (Immunodeficiency, common variable, 12); AD (Immunodeficiency 15A); AR (Immunodeficiency 15B); Chromosome Xq28 duplication syndrome; {Resistance to malaria due to G6PD deficiency}; Anemia, congenital, nonspherocytic hemolytic, 1, G6PD deficient; AR (Immunodeficiency with hyper-IgM, type 3); Autoinflammatory disease, systemic, X-linked; Ectodermal dysplasia and immunodeficiency 1; Immunodeficiency 33; Incontinentia pigmenti; AD (Immunodeficiency, common variable, 12); AD (Immunodeficiency 15A); AR (Immunodeficiency 15B); Chromosome Xq28 duplication syndrome; {Resistance to malaria due to G6PD deficiency}; Anemia, congenital, nonspherocytic hemolytic, 1, G6PD deficient; AR (Immunodeficiency with hyper-IgM, type 3)",
IKZF1,"AD (Immunodeficiency, common variable, 13); AD (?Immunodeficiency 84); {Leukemia, acute lymphoblastic, susceptibility to, 2}; {Leukemia, acute lymphocytic, susceptibility to, 1}; {Leukemia, acute lymphoblastic, susceptibility to, 3}; AR (Intellectual developmental disorder, autosomal recessive 2); Leukemia, acute lymphocytic, Philadelphia chromosome positive, somatic; Leukemia, chronic myeloid, Philadelphia chromosome positive, somatic; AD (Congenital heart defects and skeletal malformations syndrome); Leukemia, Philadelphia chromosome-positive, resistant to imatinib; AD (Immunodeficiency, common variable, 13); AD (?Immunodeficiency 84); {Leukemia, acute lymphoblastic, susceptibility to, 2}; {Leukemia, acute lymphocytic, susceptibility to, 1}; {Leukemia, acute lymphoblastic, susceptibility to, 3}; AR (Intellectual developmental disorder, autosomal recessive 2); Leukemia, acute lymphocytic, Philadelphia chromosome positive, somatic; Leukemia, chronic myeloid, Philadelphia chromosome positive, somatic; AD (Congenital heart defects and skeletal malformations syndrome); Leukemia, Philadelphia chromosome-positive, resistant to imatinib",
IKZF3,"AD (?Immunodeficiency 84); AD (Immunodeficiency, common variable, 13); AR (Intellectual developmental disorder, autosomal recessive 2); AD (Agammaglobulinemia 8A, autosomal dominant); AR (Agammaglobulinemia 8B, autosomal recessive); AD (White-Kernohan syndrome); {Leukemia, acute lymphoblastic, susceptibility to, 3}; AD (?Immunodeficiency 84); AD (Immunodeficiency, common variable, 13); AR (Intellectual developmental disorder, autosomal recessive 2); AD (Agammaglobulinemia 8A, autosomal dominant); AR (Agammaglobulinemia 8B, autosomal recessive); AD (White-Kernohan syndrome); {Leukemia, acute lymphoblastic, susceptibility to, 3}",
IKZF4,"AD (Thrombocytopenia, autosomal dominant, 7); Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked; AD (Thrombocytopenia, autosomal dominant, 7); Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked",
IKZF5,"AD (Thrombocytopenia, autosomal dominant, 7); AD (Thrombocytopenia, autosomal dominant, 7)",
IL10,"{Graft-versus-host disease, protection against}; {HIV-1, susceptibility to}; {Rheumatoid arthritis, progression of}; AR (Inflammatory bowel disease 28, early onset, autosomal recessive); {Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); AR (?Immunodeficiency 69, mycobacteriosis); {AIDS, rapid progression to}; {Aplastic anemia}; {Hepatitis C virus, response to therapy of}; AD ({TSC2 angiomyolipomas, renal, modifier of}); {Tuberculosis, protection against}; AR (?Immunodeficiency 127); AD ({Asthma, susceptibility to}); {Dementia, vascular, susceptibility to}; {Malaria, cerebral, susceptibility to}; AD ({Migraine without aura, susceptibility to}); {Septic shock, susceptibility to}; {Graft-versus-host disease, protection against}; {HIV-1, susceptibility to}; {Rheumatoid arthritis, progression of}; AR (Inflammatory bowel disease 28, early onset, autosomal recessive); {Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); AR (?Immunodeficiency 69, mycobacteriosis); {AIDS, rapid progression to}; {Aplastic anemia}; {Hepatitis C virus, response to therapy of}; AD ({TSC2 angiomyolipomas, renal, modifier of}); {Tuberculosis, protection against}; AR (?Immunodeficiency 127); AD ({Asthma, susceptibility to}); {Dementia, vascular, susceptibility to}; {Malaria, cerebral, susceptibility to}; AD ({Migraine without aura, susceptibility to}); {Septic shock, susceptibility to}",
IL10RA,"AR (Inflammatory bowel disease 28, early onset, autosomal recessive); {Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); {Graft-versus-host disease, protection against}; {HIV-1, susceptibility to}; {Rheumatoid arthritis, progression of}; AR (Immunodeficiency 54); AR (Inflammatory bowel disease 28, early onset, autosomal recessive); {Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); {Graft-versus-host disease, protection against}; {HIV-1, susceptibility to}; {Rheumatoid arthritis, progression of}; AR (Immunodeficiency 54)",
IL10RB,"{Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); {Hepatitis B virus, susceptibility to}; AR (Immunodeficiency 45); {Graft-versus-host disease, protection against}; {HIV-1, susceptibility to}; {Rheumatoid arthritis, progression of}; {Hepatitis B virus, susceptibility to}; AR (Inflammatory bowel disease 25, early onset, autosomal recessive); {Hepatitis B virus, susceptibility to}; AR (Immunodeficiency 45); {Graft-versus-host disease, protection against}; {HIV-1, susceptibility to}; {Rheumatoid arthritis, progression of}",
IL11,"AR (Craniosynostosis and dental anomalies); AD (?Immunodeficiency 94 with autoinflammation and dysmorphic facies); AD (Hyper-IgE syndrome 4A, autosomal dominant, with recurrent infections); AR (Hyper-IgE syndrome 4B, autosomal recessive, with recurrent infections); AR (Stuve-Wiedemann syndrome 2); {Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); AD (Autoimmune disease, multisystem, infantile-onset, 1); AD (Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections); Aromatase deficiency; AR (Craniosynostosis and dental anomalies); AD (?Immunodeficiency 94 with autoinflammation and dysmorphic facies); AD (Hyper-IgE syndrome 4A, autosomal dominant, with recurrent infections); AR (Hyper-IgE syndrome 4B, autosomal recessive, with recurrent infections); AR (Stuve-Wiedemann syndrome 2); {Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); AD (Autoimmune disease, multisystem, infantile-onset, 1); AD (Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections); Aromatase deficiency",
IL11RA,"AR (Craniosynostosis and dental anomalies); AR (Galactosemia); {Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); AR (Intellectual developmental disorder with or without peripheral neuropathy); {Stature QTL 1}; AD (?Aneurysm, intracranial berry, 12); AR (Lymphatic malformation 13); AR (Craniosynostosis and dental anomalies); AR (Galactosemia); {Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); AR (Intellectual developmental disorder with or without peripheral neuropathy); {Stature QTL 1}; AD (?Aneurysm, intracranial berry, 12); AR (Lymphatic malformation 13)",
IL12A,"AR (Immunodeficiency 29, mycobacteriosis); AD (Biliary cirrhosis, primary, 1); {Celiac disease, susceptibility to, 10}; AD (Hyper-IgE syndrome 6, autosomal dominant, with recurrent infections); AR (Immunodeficiency 30); AD (Autoimmune disease, multisystem, infantile-onset, 1); AD (Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections); AR (Immunodeficiency 29, mycobacteriosis); AD (Biliary cirrhosis, primary, 1); {Celiac disease, susceptibility to, 10}; AD (Hyper-IgE syndrome 6, autosomal dominant, with recurrent infections); AR (Immunodeficiency 30); AD (Autoimmune disease, multisystem, infantile-onset, 1); AD (Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections)",
IL12B,"AR (Immunodeficiency 29, mycobacteriosis); {Psoriasis susceptibility 11}; AD (Immunodeficiency 32A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 32B, monocyte and dendritic cell deficiency, autosomal recessive); {Psoriasis susceptibility 7}; {Diabetes mellitus, insulin-dependent, 18}; Gastric cancer, somatic; AR (Immunodeficiency 117, mycobacteriosis, autosomal recessive); Nonsmall cell lung cancer, somatic; AR (Immunodeficiency 29, mycobacteriosis); {Psoriasis susceptibility 11}; AD (Immunodeficiency 32A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 32B, monocyte and dendritic cell deficiency, autosomal recessive); {Psoriasis susceptibility 7}; {Diabetes mellitus, insulin-dependent, 18}; Gastric cancer, somatic; AR (Immunodeficiency 117, mycobacteriosis, autosomal recessive); Nonsmall cell lung cancer, somatic",
IL12RB1,"AR (Immunodeficiency 30); AR (Immunodeficiency 29, mycobacteriosis); {Inflammatory bowel disease 17, protection against}; {Psoriasis, protection against}; AD (Autoimmune disease, multisystem, infantile-onset, 1); AD (Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections); AR (Immunodeficiency 30); AR (Immunodeficiency 29, mycobacteriosis); {Inflammatory bowel disease 17, protection against}; {Psoriasis, protection against}; AD (Autoimmune disease, multisystem, infantile-onset, 1); AD (Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections)",
IL12RB2,"AR (?Immunodeficiency 88); AR ({Asthma, aspirin-induced, susceptibility to}); AR (Asthma and nasal polyps); AR (Immunodeficiency 30); {Inflammatory bowel disease 17, protection against}; {Psoriasis, protection against}; AD (Biliary cirrhosis, primary, 1); AR (Immunodeficiency 29, mycobacteriosis); AR (?Immunodeficiency 88); AR ({Asthma, aspirin-induced, susceptibility to}); AR (Asthma and nasal polyps); AR (Immunodeficiency 30); {Inflammatory bowel disease 17, protection against}; {Psoriasis, protection against}; AD (Biliary cirrhosis, primary, 1); AR (Immunodeficiency 29, mycobacteriosis)",
IL13,"{Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); AR (Craniosynostosis and dental anomalies); {Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); AR (Craniosynostosis and dental anomalies)",
IL13RA1,"{Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; AR (Immunodeficiency 56); {Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; AR (Immunodeficiency 56)",
IL13RA2,"{Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to}); {Allergic rhinitis, susceptibility to}; AD ({Asthma, susceptibility to})",
IL15,"AR (?Immunodeficiency, common variable, 11); AR (Immunodeficiency 63 with lymphoproliferation and autoimmunity); AR (Immunodeficiency 56); AR (Lymphoproliferative syndrome 1); AR (?Immunodeficiency, common variable, 11); AR (Immunodeficiency 63 with lymphoproliferation and autoimmunity); AR (Immunodeficiency 56); AR (Lymphoproliferative syndrome 1)",
IL15RA,"Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked; Combined immunodeficiency, X-linked, moderate; Severe combined immunodeficiency, X-linked",
IL16,"{Diabetes mellitus, insulin-dependent, 22}; {Hepatitis C virus, resistance to}; {HIV infection, susceptibility/resistance to}; {West nile virus, susceptibility to}; {Diabetes mellitus, insulin-dependent, 22}; {Hepatitis C virus, resistance to}; {HIV infection, susceptibility/resistance to}; {West nile virus, susceptibility to}",
IL17A,"AD (Immunodeficiency 31A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive); AD (Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant); AR (Immunodeficiency 51); {Autism susceptibility 1}; AR (Immunodeficiency 42); AD (Immunodeficiency 31A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive); AD (Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant); AR (Immunodeficiency 51); {Autism susceptibility 1}; AR (Immunodeficiency 42)",
IL17B,"?Candidiasis, familial, 6, autosomal dominant; ?Candidiasis, familial, 6, autosomal dominant",
IL17C,"?Candidiasis, familial, 6, autosomal dominant; ?Candidiasis, familial, 6, autosomal dominant",
IL17F,"?Candidiasis, familial, 6, autosomal dominant; AD (Immunodeficiency 31A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive); AD (Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant); AR (Immunodeficiency 51); AR (Immunodeficiency 42); ?Candidiasis, familial, 6, autosomal dominant; AD (Immunodeficiency 31A, mycobacteriosis, autosomal dominant); AR (Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive); AD (Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant); AR (Immunodeficiency 51); AR (Immunodeficiency 42)",
IL17RA,"AR (Immunodeficiency 51); ?Candidiasis, familial, 6, autosomal dominant; AR (Candidiasis, familial, 9); AR (?Candidiasis, familial, 8); {Psoriasis susceptibility 13}; {Autism susceptibility 1}; AR (Immunodeficiency 51); ?Candidiasis, familial, 6, autosomal dominant; AR (Candidiasis, familial, 9); AR (?Candidiasis, familial, 8); {Psoriasis susceptibility 13}; {Autism susceptibility 1}",
IL17RB,"AR (?Candidiasis, familial, 8); {Psoriasis susceptibility 13}; AR (?Candidiasis, familial, 8); {Psoriasis susceptibility 13}",
IL17RC,"AR (Candidiasis, familial, 9); AR ({Cystic fibrosis lung disease, modifier of}); AD (Camurati-Engelmann disease); AR (Inflammatory bowel disease, immunodeficiency, and encephalopathy); ?Candidiasis, familial, 6, autosomal dominant; AR (Immunodeficiency 51); AR (?Candidiasis, familial, 8); {Psoriasis susceptibility 13}; AD (Candidiasis, familial, 1, autosomal dominant); AR (Candidiasis, familial, 9); AR ({Cystic fibrosis lung disease, modifier of}); AD (Camurati-Engelmann disease); AR (Inflammatory bowel disease, immunodeficiency, and encephalopathy); ?Candidiasis, familial, 6, autosomal dominant; AR (Immunodeficiency 51); AR (?Candidiasis, familial, 8); {Psoriasis susceptibility 13}; AD (Candidiasis, familial, 1, autosomal dominant)",
IL17RD,"AR (Hypogonadotropic hypogonadism 18 with or without anosmia); Encephalocraniocutaneous lipomatosis, somatic mosaic; AD (Hartsfield syndrome); AD (Hypogonadotropic hypogonadism 2 with or without anosmia); AD (Jackson-Weiss syndrome); AD (Osteoglophonic dysplasia); AD (Pfeiffer syndrome); AD (Trigonocephaly 1); AD (?Precocious puberty, central, 1); AR (Hypogonadotropic hypogonadism 8 with or without anosmia); AD (Hypogonadotropic hypogonadism 19 with or without anosmia); AD (Hypogonadotropic hypogonadism 20 with or without anosmia); AD (Hypogonadotropic hypogonadism 21 with anosmia); AR (Hypogonadotropic hypogonadism 18 with or without anosmia); Encephalocraniocutaneous lipomatosis, somatic mosaic; AD (Hartsfield syndrome); AD (Hypogonadotropic hypogonadism 2 with or without anosmia); AD (Jackson-Weiss syndrome); AD (Osteoglophonic dysplasia); AD (Pfeiffer syndrome); AD (Trigonocephaly 1); AD (?Precocious puberty, central, 1); AR (Hypogonadotropic hypogonadism 8 with or without anosmia); AD (Hypogonadotropic hypogonadism 19 with or without anosmia); AD (Hypogonadotropic hypogonadism 20 with or without anosmia); AD (Hypogonadotropic hypogonadism 21 with anosmia)",
IL17REL,{Inflammatory bowel disease 11}; {Inflammatory bowel disease 7}; {Inflammatory bowel disease 23}; {Inflammatory bowel disease 11}; {Inflammatory bowel disease 7}; {Inflammatory bowel disease 23},
IL18,"AR ({?Hepatitis, fulminant viral, susceptibility to}); AD (CINCA syndrome); AD (Deafness, autosomal dominant 34, with or without inflammation); AD (Familial cold inflammatory syndrome 1); AD (Keratoendothelitis fugax hereditaria); AD (Muckle-Wells syndrome); AD (?Familial cold autoinflammatory syndrome 4); AD (Autoinflammation with infantile enterocolitis); AR ({?Hepatitis, fulminant viral, susceptibility to}); AD (CINCA syndrome); AD (Deafness, autosomal dominant 34, with or without inflammation); AD (Familial cold inflammatory syndrome 1); AD (Keratoendothelitis fugax hereditaria); AD (Muckle-Wells syndrome); AD (?Familial cold autoinflammatory syndrome 4); AD (Autoinflammation with infantile enterocolitis)",
IL18BP,"AR ({?Hepatitis, fulminant viral, susceptibility to}); AR ({?Hepatitis, fulminant viral, susceptibility to})",
IL18R1,"{Celiac disease, susceptibility to, 8}; AD (?Chronic recurrent multifocal osteomyelitis 3); AR ({?Hepatitis, fulminant viral, susceptibility to}); {Celiac disease, susceptibility to, 8}; AD (?Chronic recurrent multifocal osteomyelitis 3); AR ({?Hepatitis, fulminant viral, susceptibility to})",
IL18RAP,"{Celiac disease, susceptibility to, 8}; {Leprosy, paucibacillary type, susceptibility to}; AR ({Diabetes mellitus, insulin-dependent-1}); {Celiac disease, susceptibility to, 8}; {Leprosy, paucibacillary type, susceptibility to}; AR ({Diabetes mellitus, insulin-dependent-1})",
IL19,"AR ({Diabetes mellitus, insulin-dependent-1}); AR ({Diabetes mellitus, insulin-dependent-1})",
IL1A,"{Gastric cancer risk after H. pylori infection}; {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); AR (Psoriasis 14, pustular); {Gastric cancer risk after H. pylori infection}; {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); AR (Psoriasis 14, pustular)",
IL1B,"{Gastric cancer risk after H. pylori infection}; AD (CINCA syndrome); AD (Deafness, autosomal dominant 34, with or without inflammation); AD (Familial cold inflammatory syndrome 1); AD (Keratoendothelitis fugax hereditaria); AD (Muckle-Wells syndrome); AD (?Familial cold autoinflammatory syndrome 4); AD (Autoinflammation with infantile enterocolitis); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); Autoinflammatory disease, systemic, X-linked; Ectodermal dysplasia and immunodeficiency 1; Immunodeficiency 33; Incontinentia pigmenti; AD (Ectodermal dysplasia and immunodeficiency 2); {Gastric cancer risk after H. pylori infection}; AD (CINCA syndrome); AD (Deafness, autosomal dominant 34, with or without inflammation); AD (Familial cold inflammatory syndrome 1); AD (Keratoendothelitis fugax hereditaria); AD (Muckle-Wells syndrome); AD (?Familial cold autoinflammatory syndrome 4); AD (Autoinflammation with infantile enterocolitis); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); Autoinflammatory disease, systemic, X-linked; Ectodermal dysplasia and immunodeficiency 1; Immunodeficiency 33; Incontinentia pigmenti; AD (Ectodermal dysplasia and immunodeficiency 2)",
IL1F10,"{Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; {Inflammatory bowel disease 11}; AR (Psoriasis 14, pustular); AR (?Inflammatory bowel disease (infantile ulcerative colitis) 31); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; {Inflammatory bowel disease 11}; AR (Psoriasis 14, pustular); AR (?Inflammatory bowel disease (infantile ulcerative colitis) 31)",
IL1R1,"AD (?Chronic recurrent multifocal osteomyelitis 3); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); AD ({Autoimmune lymphoproliferative syndrome}); AD (Autoimmune lymphoproliferative syndrome, type IA); Squamous cell carcinoma, burn scar-related, somatic; AD ({Lung cancer, susceptibility to}); AD (Autoimmune lymphoproliferative syndrome, type IB); AR (Neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities); AD (?Chronic recurrent multifocal osteomyelitis 3); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); AD ({Autoimmune lymphoproliferative syndrome}); AD (Autoimmune lymphoproliferative syndrome, type IA); Squamous cell carcinoma, burn scar-related, somatic; AD ({Lung cancer, susceptibility to}); AD (Autoimmune lymphoproliferative syndrome, type IB); AR (Neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities)",
IL1R2,"AR (Metaphyseal anadysplasia 2); {Gastric cancer risk after H. pylori infection}; AD (?Chronic recurrent multifocal osteomyelitis 3); {Malaria, resistance to}; AR (Metaphyseal anadysplasia 2); {Gastric cancer risk after H. pylori infection}; AD (?Chronic recurrent multifocal osteomyelitis 3); {Malaria, resistance to}",
IL1RAP,"AR (Immunodeficiency 68); Macroglobulinemia, Waldenstrom, somatic; AR (Psoriasis 14, pustular); Intellectual developmental disorder, X-linked 21; AR (Immunodeficiency 68); Macroglobulinemia, Waldenstrom, somatic; AR (Psoriasis 14, pustular); Intellectual developmental disorder, X-linked 21",
IL1RAPL1,"Intellectual developmental disorder, X-linked 21; Intellectual developmental disorder, X-linked 21",
IL1RAPL2,"Intellectual developmental disorder, X-linked 21; Intellectual developmental disorder, X-linked 21",
IL1RL1,"AD (?Chronic recurrent multifocal osteomyelitis 3); AR (Chronic granulomatous disease 1, autosomal recessive); AD (?Chronic recurrent multifocal osteomyelitis 3); AR (Chronic granulomatous disease 1, autosomal recessive)",
IL1RL2,"AD (?Chronic recurrent multifocal osteomyelitis 3); AR (Psoriasis 14, pustular); AD (?Chronic recurrent multifocal osteomyelitis 3); AR (Psoriasis 14, pustular)",
IL1RN,"{Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; AD (?Chronic recurrent multifocal osteomyelitis 3); AR (Psoriasis 14, pustular); {Gastric cancer risk after H. pylori infection}; {Microvascular complications of diabetes 4}; AR (Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis); AR (Interleukin 1 receptor antagonist deficiency); {Gastric cancer risk after H. pylori infection}; AD (?Chronic recurrent multifocal osteomyelitis 3); AR (Psoriasis 14, pustular)",
